chapter,,Cardiology,Dermatology,Development,Emergency Medicine,Endocrinology,Gastroenterology,Genetics,Growth,Hematology,Immunology,Infectious Diseases,Neonatology,Nephrology,Neurology,Nutrition,Oncology,Orthopedics,Pharmacology,Pulmonology,Rheumatology,Surgery
Adolescent Medicine,2,6,0,19,2,4,18,2,5,6,0,40,0,0,20,0,11,9,40,0,0,4
Allergic Disorders,0,3,11,0,0,0,13,2,0,2,3,44,0,2,2,0,10,7,45,48,0,2
Behavioral and Psychiatric Disorders,0,6,0,93,0,0,13,0,0,0,0,2,0,0,22,1,2,0,28,0,0,3
Bone and Joint Disorders,0,3,3,0,0,0,6,1,0,0,0,27,0,3,10,1,7,277,14,2,0,32
Cancer and Benign Tumors,0,2,0,0,0,0,8,0,0,36,0,27,0,1,2,0,117,0,22,2,0,5
Congenital Adrenal Hyperplasia and Related Disorders,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diseases of the Blood,0,108,0,1,0,2,42,1,0,19,1,39,0,9,8,0,6,23,43,6,0,12
Disorders of Purine and Pyrimidine Metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Disorders of the Eye,2,9,2,6,1,0,3,1,6,0,0,30,0,0,35,0,12,2,18,3,0,16
Disorders of the Retina and Vitreous,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Emergency Medicine, Critical Care, and Anesthesia",0,41,2,0,89,0,34,0,0,3,0,24,0,13,45,0,2,5,49,52,0,23
Environmental Health,2,1,0,4,0,1,24,0,2,0,0,24,0,4,13,2,10,5,23,13,0,0
Final classification,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Fluid and Electrolyte Disorders,1,3,0,0,1,0,25,0,0,0,0,0,0,46,7,1,3,8,3,2,0,0
"Growth, Development, and Behavior",0,1,0,136,0,0,3,0,11,0,0,6,0,0,1,0,0,0,2,0,0,0
Gynecologic Problems of Childhood,0,1,0,1,0,1,3,0,2,1,0,21,0,34,3,0,2,0,3,0,0,12
Herpes Simplex Virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Human Genetics,0,8,0,0,0,0,26,52,0,0,0,1,0,2,10,0,9,1,36,1,0,6
Immunology,0,6,2,0,0,0,15,0,0,3,42,126,0,1,1,0,6,3,15,5,0,1
Infectious Diseases,0,2,0,0,0,0,45,0,0,1,0,1042,0,1,28,0,2,1,163,2,0,1
Laboratory Medicine,0,2,0,0,1,0,6,0,1,1,1,8,0,0,2,1,0,0,9,0,0,2
Learning and Developmental Disorders,0,1,1,111,0,0,5,0,0,0,0,8,0,0,32,0,0,1,13,1,0,5
Metabolic Disorders,1,45,3,4,0,2,109,9,9,2,0,15,1,10,97,6,8,15,31,3,0,4
Nephrology,0,1,0,0,0,0,9,0,0,1,0,8,0,45,11,0,63,12,4,5,0,1
Neuromuscular Disorders,0,8,0,0,0,2,4,0,0,0,0,29,0,0,157,0,5,6,10,4,1,8
Nutrition,0,9,0,1,0,0,33,0,0,2,0,6,0,3,22,96,2,5,11,2,0,0
Page 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Page 10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Page 11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Page 12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Page 13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Page 14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Page 15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Page 16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Page 17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
